amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER
883784.28,117386,0,54745.75,938530.03,0,0,0,0,1
326620.1,0,0,3406394.84,4015446.78,0,1,0,0,0
331478.22,0,0,472132.89,803611.1,0,1,0,0,0
12562.14,33734,21171.86,0,12562.14,0,1,0,0,0
394782,283449.65,678231.65,0,0,0,0,0,0,0
111183.03,4127201.09,4238384.12,3575784.7,3945257.86,0,0,0,0,0
1471768.18,5703,0,2104098.74,3575866.93,0,0,0,0,1
39264.93,0,0,651268.48,695230.15,0,1,0,0,0
23815.92,1072,0,0,0,0,0,0,1,0
1406.13,0,0,28582.67,298648.65,0,1,0,0,0
109841.39,4564122.02,4673963.41,1645446.29,2751686.85,0,0,0,0,0
211926.46,0,0,544074.39,434053.18,0,1,0,0,0
38621.98,41383,2761.02,0,0,0,0,0,1,0
5553.6,0,0,0,0,0,0,0,1,0
375384.09,0,0,5097001.64,5472385.73,0,1,0,0,0
75378.69,888340.45,963719.15,735040.8,659662.11,0,0,0,0,0
14138.98,6098,0,0,0,0,0,0,1,0
112299.79,20957,133256.79,66695.37,0,0,0,0,0,0
5327.61,148,0,0,0,0,0,0,1,0
50831.75,0,0,1029083.17,1251109.63,0,1,0,0,0
51946.27,16522,0,4695877.11,4747823.38,0,1,0,0,0
182685.48,11307,0,1065973.15,1283463.79,0,1,0,0,0
184403.06,0,184403.06,1272682.7,1088279.64,0,0,0,0,0
441724.39,12108,0,1078431.93,2685663.94,0,1,0,0,0
346803.7,12735518.74,13082322.44,1089304.28,742500.58,0,0,0,0,0
137552.37,0,0,464802.52,602354.88,0,0,0,0,1
457229.49,212,0,1017564.6,1474794.09,0,1,0,0,0
206592.56,0,0,810946.05,653512.35,0,1,0,0,0
13957.3,42962,29004.7,0,0,0,0,0,1,0
151914.58,0,0,2419839,2571753.58,0,1,0,0,0
119158.2,11321672.2,11440830.4,829226.94,710068.74,0,0,0,0,0
1556257.97,90303,0,523515.95,2079773.91,0,0,0,0,1
14587.9,204842.02,190254.12,0,0,0,0,0,1,0
7874.81,23761,15886.19,0,0,0,0,0,1,0
15928.84,0,0,914313.38,930242.22,0,1,0,0,0
32285.19,11071412.71,11103697.9,1180328.22,1148043.03,0,0,0,0,0
280694.73,651,0,286507,0,0,1,0,0,0
293135.32,102831,0,6021759.96,6314895.28,0,0,0,0,1
249167.02,0,0,1276311.9,1525478.93,0,0,0,0,1
4457.99,46,0,0,0,0,0,0,1,0
178054.73,51151,229205.73,4695594.53,4517539.81,0,0,0,0,0
239144.1,4487727.54,4726871.64,26187256.18,25948112.09,0,0,0,0,0
131575.49,12965,144540.49,0,0,0,0,0,0,0
5147.52,9941,4793.48,0,5147.52,0,1,0,0,0
251443.56,0,0,701401.38,952844.93,0,1,0,0,0
130281.91,0,0,384696.13,848192.89,0,1,0,0,0
15692.72,0,0,893494.46,909187.18,0,1,0,0,0
31076.84,15779224.81,15810301.65,2720229.63,2689152.79,0,0,0,0,0
110.64,502,391.36,0,0,0,0,0,1,0
149803.15,0,0,1620364.76,2152969.71,0,1,0,0,0
10958.43,39988,29029.57,0,0,0,0,0,1,0
27529.43,0,0,0,0,0,0,0,1,0
10376.32,0,0,0,0,0,0,0,1,0
205776.87,40117,245893.87,866113.23,660336.36,0,0,0,0,0
247267.25,33409,0,373359.6,620626.85,0,1,0,0,0
126992.52,271,0,325204.41,452196.93,0,0,0,0,1
4677.1,110756.43,106079.33,0,0,0,0,0,1,0
2800.49,0,0,0,0,0,0,0,1,0
4730.85,14749,10018.15,0,0,0,0,0,1,0
284701.78,0,0,1725898.32,2010600.1,0,1,0,0,0
34270.81,53978.57,19707.76,0,0,0,0,0,1,0
302140.01,10211,312351.01,113820.27,0,0,0,0,0,0
39216.86,988087.38,1027304.24,1841779.14,1802562.27,0,0,0,0,0
178457.92,0,0,1109288.02,1287745.93,0,1,0,0,0
83659.15,132,0,24.16,83683.31,0,1,0,0,0
91444.9,42067,0,69836.73,161281.63,0,1,0,0,0
1933.05,3666,1732.95,1211195.69,1351600.15,0,1,0,0,0
8483.33,204415,195931.67,0,0,0,0,0,1,0
3906.39,550768.59,546862.2,0,0,0,0,0,1,0
25940.6,2220226.88,2246167.47,71991.22,46050.63,0,0,0,0,0
17827.68,2411229.5,2429057.19,26725.73,8898.05,0,0,0,0,0
115419.87,19454.48,0,1167310.83,1282730.7,0,1,0,0,0
476923.55,6153,0,0,476923.55,0,1,0,0,0
569642.54,17206566.83,17776209.37,2949960.54,2380318.01,0,0,0,0,0
11085.15,1009,0,0,0,0,0,0,1,0
75734.9,7176759.66,7252494.56,3380002.97,3304268.08,0,0,0,0,0
1010.51,0,0,1807470.21,1808480.72,0,1,0,0,0
123533.38,0,0,292040.33,415573.71,0,1,0,0,0
10447.41,11594360.51,11604807.92,172191.51,161744.1,0,0,0,0,0
1315.94,184434.83,183118.89,0,0,0,0,0,1,0
103194.67,4645907.6,4749102.27,202803.42,99608.75,0,0,0,0,0
64271.27,76775,12503.73,674882.33,739153.6,0,1,0,0,0
160268.28,40312,0,1100508.87,1260777.14,0,1,0,0,0
201249.09,6468425.66,6669674.75,651591.01,450341.93,0,0,0,0,0
488005.67,0,0,3339666.46,3827672.13,0,1,0,0,0
6346.33,957885.29,951538.96,0,0,0,0,0,1,0
21196.63,0,0,0,0,0,0,0,1,0
380017.8,0,0,429296.44,809314.24,0,1,0,0,0
221762.84,0,0,1639013.32,1860776.16,0,1,0,0,0
123898.16,12360,0,101111.97,225010.13,0,1,0,0,0
1487527.13,0,0,1683097.8,3136138.84,0,0,0,0,1
214070.48,43396,0,3256496.81,3470567.29,0,1,0,0,0
52422.17,306695,254272.83,3149315.06,3201737.23,0,1,0,0,0
334011.97,0,0,2172074.93,3212032.09,0,1,0,0,0
861264.96,0,0,4675482.07,5536747.03,0,0,0,0,1
1975.53,51632,49656.47,0,0,0,0,0,1,0
41127.18,0,0,0,0,0,0,0,1,0
16361.83,0,0,0,0,0,0,0,1,0
275260.56,34041,0,895708.59,1170969.15,0,1,0,0,0
353041.56,627300.92,980342.49,1452146.25,1099104.68,0,0,0,0,0
12129.28,90171.44,78042.17,0,0,0,0,0,1,0
3388.58,0,0,0,0,0,0,0,1,0
27153.28,0,0,0,0,0,0,0,1,0
12377.02,0,0,517023.66,601725.75,0,1,0,0,0
29420.16,131119.79,101699.63,0,0,0,0,0,1,0
17298.94,0,0,0,0,0,0,0,1,0
5448.37,30270,24821.63,0,0,0,0,0,1,0
11160.11,1903,0,0,0,0,0,0,1,0
76183.58,101,0,0,76183.58,0,1,0,0,0
372436.37,214,0,450525.67,822962.04,0,1,0,0,0
31440.89,0,0,0,0,0,0,0,1,0
123151.42,0,0,360455.01,902737.67,0,1,0,0,0
239929.37,0,0,4515271.36,4755200.73,0,1,0,0,0
95672.91,0,0,3455373.31,3551046.22,0,1,0,0,0
91962.34,0,0,94013.59,185975.93,0,1,0,0,0
109080.12,2063,0,0,109080.12,0,0,0,0,1
50658.48,5020,0,645,51303.48,0,1,0,0,0
82.2,66896,66978.2,429,0,0,0,0,0,0
18454.14,11185,0,0,0,0,0,0,1,0
16926.51,0,0,0,0,0,0,0,1,0
286520.58,0,0,1523281.86,2323599.49,0,1,0,0,0
34233.06,0,0,541120.85,575353.91,0,1,0,0,0
207.37,26694.45,26487.08,0,0,0,0,0,1,0
134668.83,29889,0,1226549.56,1361218.39,0,1,0,0,0
269486.25,10369220.16,10638706.41,5021258.98,4751772.73,0,0,0,0,0
199626.08,0,0,352987.45,434225.58,0,1,0,0,0
319559.08,0,0,351650.16,671209.24,0,1,0,0,0
640591.8,0,0,2269233.2,2909825,0,0,0,0,1
457197.49,0,0,3677255.08,4134452.58,0,0,0,0,1
651446.72,4665514.8,5316961.52,744413.05,92966.32,0,0,0,0,0
530695.64,0,0,1742035.26,2272730.9,0,0,0,0,1
46250.53,120552.7,74302.17,0,0,0,0,0,1,0
206128.4,309437,103308.6,0,206128.4,0,1,0,0,0
631.15,0,0,0,0,0,0,0,1,0
6953.24,42172,35218.76,0,0,0,0,0,1,0
24288.31,1015,0,0,0,0,0,0,1,0
294364.98,5095,0,0,588219.6,0,1,0,0,0
5145.13,0,0,0,0,0,0,0,1,0
589298.44,226176,0,0,589298.44,0,0,0,0,1
177761.7,81120,258881.7,367163.08,189401.37,0,0,0,0,0
1068748.51,59334.38,0,1849995.29,2918743.8,0,0,0,0,1
81427.42,472,0,0,81427.42,0,1,0,0,0
7545.08,571838,564292.92,0,0,0,0,0,1,0
106139.02,254924,148784.98,0,106139.02,0,1,0,0,0
7010.78,24824,17813.22,0,0,0,0,0,1,0
93704.09,0,0,727127.89,820831.98,0,1,0,0,0
8247.63,0,0,0,0,0,0,0,1,0
431941.04,0,0,1165277.63,1597218.67,0,0,0,0,1
449968.52,173,0,9437.78,408933.49,0,0,0,0,1
103808.09,0,0,147668.97,251477.06,0,1,0,0,0
17718.87,57990,40271.13,0,0,0,0,0,1,0
122377.68,211812.91,89435.23,223900.19,618730.52,0,1,0,0,0
153114.19,373101,219986.81,292500.32,445614.51,0,1,0,0,0
91743.2,0,0,272888.32,244489.74,0,1,0,0,0
26007.75,0,0,0,0,0,0,0,1,0
68858.63,12113.81,0,802251.7,871110.33,0,1,0,0,0
224382.15,0,0,1995238.52,2219620.67,0,1,0,0,0
33599.26,30045,0,1072352.85,1105952.11,0,1,0,0,0
138645.49,39614,0,7585522.42,7836911.11,0,1,0,0,0
14484.82,1298,0,0,0,0,0,0,1,0
32554.62,19513,0,0,0,0,0,0,1,0
101894.67,143816,41921.33,117011.81,218906.48,0,1,0,0,0
286053.22,215278,0,690815.27,976868.49,0,1,0,0,0
2962.8,73,0,0,0,0,0,0,1,0
15180.35,0,0,0,0,0,0,0,1,0
230590.12,9216.88,0,1273957.19,1504547.32,0,1,0,0,0
277481.38,0,0,374283.19,810562.05,0,1,0,0,0
176174.96,81081,257255.96,1730813.24,1554638.28,0,0,0,0,0
23824.51,351657,327832.49,361350.7,385175.21,0,1,0,0,0
4893.67,31449,26555.33,0,0,0,0,0,1,0
107896.63,1295417.29,1403313.92,645478.08,537581.45,0,0,0,0,0
10841.36,0,0,0,0,0,0,0,1,0
129833.01,10984661.36,11114494.37,283808.22,153975.22,0,0,0,0,0
1369.4,13491,12121.6,0,0,0,0,0,1,0
209978.3,0,0,383352.15,593330.45,0,1,0,0,0
5745.74,12706,6960.26,0,0,0,0,0,1,0
34605.8,0,0,0,0,0,0,0,1,0
4652.62,22199,17546.38,5486977.16,5491629.77,0,1,0,0,0
87369.74,7065,0,61289,148658.74,0,1,0,0,0
385494.94,0,0,941344.69,1326839.63,0,1,0,0,0
207147.95,10723,0,506378,612119.13,0,1,0,0,0
270725.86,20350,291075.86,0,0,0,0,0,0,0
10366.08,333,0,0,0,0,0,0,1,0
156192,15312,171504,43431.33,0,0,0,0,0,0
4427.86,101,0,0,0,0,0,0,1,0
37748.61,73,0,0,37748.61,0,1,0,0,0
232509.68,203489.15,0,11931,244440.68,0,1,0,0,0
1833.84,22996,21162.16,0,0,0,0,0,1,0
414716.3,101735,0,736805.63,941167.7,0,1,0,0,0
65385.12,12251,0,0,0,0,0,0,1,0
119643.85,20073,139716.85,122252.37,2608.52,0,0,0,0,0
49001.06,2202,0,0,0,0,0,0,1,0
661166.26,12602,0,1562130.32,2223296.58,0,0,0,0,1
13337.1,130435.57,117098.46,0,0,0,0,0,1,0
13840.23,117150,103309.77,0,0,0,0,0,1,0
214747.4,66869,0,16834,202287.16,0,1,0,0,0
22614.13,0,0,0,0,0,0,0,1,0
36923.26,14556,0,1564.65,38487.91,0,1,0,0,0
107483.02,166,107649.02,381570.01,274086.99,0,0,0,0,0
276274.9,3764040.89,4040315.8,3326744.15,3837239.02,0,0,0,0,0
29309.43,0,0,0,0,0,0,0,1,0
14456.98,270713.14,256256.17,0,0,0,0,0,1,0
89671.41,2900339.13,2990010.54,2641671.56,2552000.15,0,0,0,0,0
78,402543.68,402465.68,0,0,0,0,0,1,0
120216.93,8838947.54,8959164.47,393414.64,273197.71,0,0,0,0,0
33657.09,21475,0,0,0,0,0,0,1,0
243821.18,69435,313256.18,57292.81,0,0,0,0,0,0
8112.61,0,0,0,0,0,0,0,1,0
5310.67,0,0,0,0,0,0,0,1,0
585611.29,781,0,0,585611.29,0,1,0,0,0
236240.07,935319.97,1171560.04,540720.53,304480.46,0,0,0,0,0
32335.58,0,0,0,0,0,0,0,1,0
325476.79,101278,426754.79,1170454.45,844977.65,0,0,0,0,0
159015.81,4311449.65,4470465.47,2443121.84,2284106.03,0,0,0,0,0
5891.78,811,0,0,0,0,0,0,1,0
266205.73,4526602.1,4792807.83,292239.38,0,0,0,0,0,0
235905.03,0,0,2883651.55,3119556.58,0,1,0,0,0
18338.48,62083,43744.52,0,0,0,0,0,1,0
3242.69,0,0,133885.04,137127.74,0,0,0,0,1
12381.99,0,0,0,0,0,0,0,1,0
7727.96,0,0,0,0,0,0,0,1,0
199787.17,7944,207731.17,0,0,0,0,0,0,0
594208.91,65488,659696.91,5128250.75,4534041.84,0,0,0,0,0
4232.82,54935.57,50702.75,0,0,0,0,0,1,0
150340.45,7344,0,2081,152421.45,0,1,0,0,0
93457.88,527,0,3903340.83,3996798.71,0,1,0,0,0
8201.85,26236,18034.15,0,0,0,0,0,1,0
7817.99,19969,12151.01,0,0,0,0,0,1,0
10695.35,0,0,59155.08,69850.43,0,1,0,0,0
116589.55,703902.86,820492.41,4287665.66,4171076.11,0,0,0,0,0
266229.65,35281,0,0,266229.65,0,0,0,0,1
1193899.87,0,0,3352956.11,4546855.98,0,0,0,0,1
8244.74,0,0,0,0,0,0,0,1,0
8432.59,55367,46934.41,0,0,0,0,0,1,0
107873.11,0,0,456307.21,564180.33,0,1,0,0,0
645595.66,50588,696183.66,519978.79,0,0,0,0,0,0
101.85,291,189.15,0,0,0,0,0,1,0
173180.49,80109,253289.49,893760.74,720580.25,0,0,0,0,0
141054.61,50859,0,83177.38,224231.98,0,1,0,0,0
294324.07,85721,0,760702.21,1055026.28,0,1,0,0,0
24158.52,8894826.68,8918985.2,258190.69,234032.17,0,0,0,0,0
193241.36,208371.92,15130.55,408609.29,601850.65,0,1,0,0,0
3960.77,156569,152608.23,0,0,0,0,0,1,0
11915.19,373714.61,361799.42,0,0,0,0,0,1,0
819200.73,32243,0,343992.67,1163193.4,0,0,0,0,1
326856.34,32376,0,0,326856.34,0,1,0,0,0
127998.31,0,0,25058491.71,25186490.03,0,1,0,0,0
61109.38,0,0,570830.25,631939.62,0,1,0,0,0
109000.45,34794,0,1470146.71,1579147.16,0,1,0,0,0
5757.64,0,0,0,0,0,0,0,1,0
256498.82,81,256579.82,4390698.5,4134199.68,0,0,0,0,0
310923.03,61756,0,932846.43,1243769.45,0,1,0,0,0
168177.66,31014,0,1077210.1,1245387.76,0,0,0,0,1
3385.72,36081,32695.28,776740.51,780126.23,0,0,1,0,0
93647.92,1373895.88,1467543.8,387291.67,293643.75,0,0,0,0,0
3941.62,467882,463940.38,0,0,0,0,0,1,0
366343.08,38226,0,799782.52,1166125.6,0,1,0,0,0
223603.32,0,0,630973.41,774748.01,0,1,0,0,0
205117.7,81227,286344.7,352928.61,147810.91,0,0,0,0,0
88195.7,0,0,161319.16,249514.87,0,1,0,0,0
81693.95,7510,0,2370401.84,2452095.79,0,1,0,0,0
20870.69,102077,81206.31,0,0,0,0,0,1,0
10226.96,10310,83.04,0,0,0,0,0,1,0
2799.27,521180,518380.73,0,0,0,0,0,1,0
79483.26,7825422.36,7904905.62,1048809.54,886182.72,0,0,0,0,0
44643.99,20993,0,2425274.2,2469918.2,0,1,0,0,0
3756.89,453026.41,449269.52,0,0,0,0,0,1,0
7025.13,0,0,0,0,0,0,0,1,0
187963.88,69771,257734.88,61244.32,0,0,0,0,0,0
146834.73,2525118.07,2671952.8,940675.89,793841.16,0,0,0,0,0
32799.18,0,0,0,0,0,0,0,1,0
1124.58,0,0,289668.09,239285.27,0,1,0,0,0
5569.33,16644,11074.67,0,0,0,0,0,1,0
250092.16,11483,0,11614,261706.16,0,1,0,0,0
200420.77,0,0,1139948.18,1340368.95,0,1,0,0,0
9196.75,0,0,0,0,0,0,0,1,0
8031.8,91016.16,82984.36,0,0,0,0,0,1,0
10105.66,0,0,0,0,0,0,0,1,0
157827.71,5519895.74,5677723.46,376305.17,346067.74,0,0,0,0,0
77060.94,51987,0,3127665.15,3373697.71,0,1,0,0,0
191915.22,11541,203456.22,114299.23,0,0,0,0,0,0
25912.08,4293,0,0,0,0,0,0,1,0
22754.12,2161641.61,2184395.73,50671.62,27917.5,0,0,0,0,0
103506.24,12531,116037.24,22908.85,0,0,0,0,0,0
267677.93,64836,0,992449.97,1260127.89,0,1,0,0,0
45928.09,34339.88,0,0,0,0,0,0,1,0
76779.59,17752948.06,17829727.65,532552.66,455773.07,0,0,0,0,0
15102.71,0,0,22937.93,0,0,1,0,0,0
191135.88,15327.21,0,468340.12,659476,0,1,0,0,0
122790.11,0,0,3604819.33,3727609.44,0,1,0,0,0
1944.56,496691,494746.44,0,0,0,0,0,1,0
139978.44,0,0,1041488.6,1384254.27,0,1,0,0,0
114782.34,2597749.13,2712531.47,156067.58,41285.24,0,0,0,0,0
100729.68,20323,0,1608180.29,1708909.97,0,1,0,0,0
349672.28,3915332.7,4265004.98,1376507.58,1028019.19,0,0,0,0,0
159996.43,11367978.06,11527974.48,3872385.04,3688317.92,0,0,0,0,0
11685.44,0,0,0,0,0,0,0,1,0
851.13,0,0,0,0,0,0,0,1,0
414.84,0,0,0,0,0,0,0,1,0
14302.7,295020.31,280717.62,0,0,0,0,0,1,0
206982.18,0,0,1012228.16,1406621.91,0,1,0,0,0
187011.25,0,0,300713.93,487725.18,0,1,0,0,0
21653.84,20703,42356.84,1630439.09,1608785.25,0,0,0,0,0
3908.75,10338,6429.25,0,0,0,0,0,1,0
171477.44,11556,0,241631.93,413109.37,0,1,0,0,0
139225.79,41780,181005.79,272291.82,133066.03,0,0,0,0,0
11326.33,10231.93,0,0,0,0,0,0,1,0
44796.31,0,0,1640764.68,1685560.99,0,1,0,0,0
11602.57,21253.69,9651.12,0,0,0,0,0,1,0
149308.11,14081,0,0,149308.11,0,1,0,0,0
10835.39,151542.86,140707.47,0,0,0,0,0,1,0
279305.02,51175,0,1003113.68,1282418.7,0,1,0,0,0
88009.52,0,0,288278.36,597735.52,0,1,0,0,0
4442.29,34338,29895.71,0,0,0,0,0,1,0
1872242.19,0,0,9758652.33,12200472.12,0,0,0,0,1
31088.12,30413,0,0,31088.12,0,1,0,0,0
735.94,696,0,0,0,0,0,0,1,0
5084.46,974,0,632803.31,637887.77,0,1,0,0,0
505638.05,369067,0,80802.07,526458.84,0,1,0,0,0
210663.65,0,0,236762.6,447426.24,0,1,0,0,0
161856.95,4941486.9,5103343.84,875674.85,713817.9,0,0,0,0,0
293675.87,90532.96,0,1170449.3,1464125.17,0,1,0,0,0
104815.49,1136140.45,1240955.94,591044.12,486228.62,0,0,0,0,0
324.8,0,0,0,0,0,0,0,1,0
2846.53,991,0,0,0,0,0,0,1,0
3807,335413.73,331606.73,0,0,0,0,0,1,0
133752.29,94815,0,3973675.48,4107427.78,0,1,0,0,0
210592.26,114,0,55946.35,266538.61,0,1,0,0,0
129318.79,0,0,1248627.93,1377946.72,0,1,0,0,0
157854.15,106408,264262.15,0,0,0,0,0,0,0
1305729.84,0,0,2312401.03,3618130.87,0,0,0,0,1
4898.6,0,0,0,0,0,0,0,1,0
185184.56,0,0,1291611.79,1476796.35,0,1,0,0,0
11606.39,51488,39881.61,0,0,0,0,0,1,0
208629.94,1570539.09,1779169.03,654898.2,446268.27,0,0,0,0,0
57536.8,11039625.77,11097162.57,816170.72,758633.91,0,0,0,0,0
1598.81,611,0,0,0,0,0,0,1,0
1467.17,0,0,520859.87,522327.05,0,1,0,0,0
333380.59,204252,537632.59,4460613.54,4127232.95,0,0,0,0,0
96505.01,0,0,749227.61,887711.06,0,1,0,0,0
257845.4,0,0,421224.95,679070.35,0,1,0,0,0
169906.07,278563,108656.93,3473747.52,3643653.59,0,1,0,0,0
4445.39,0,0,0,0,0,0,0,1,0
116696.06,0,0,119069,235765.06,0,1,0,0,0
85496.76,26381064.37,26466561.13,1869491.41,1783994.65,0,0,0,0,0
10409.12,9637529.16,9647938.28,39839,0,0,0,0,0,0
89546.21,2691514.04,2781060.25,1798440.11,1708893.89,0,0,0,0,0
28104.05,30577,2472.95,0,0,0,0,0,1,0
6570.09,0,0,0,0,0,0,0,1,0
199451.46,3366039.68,3565491.13,5325283.23,5406953.02,0,0,0,0,0
42511.43,3419891.09,3462402.52,871890.88,829379.45,0,0,0,0,0
29033.51,1668582.41,1697615.91,2270899.41,2241865.91,0,0,0,0,0
488.43,0,0,0,0,0,0,0,1,0
50604.14,0,0,147504.04,198108.19,0,1,0,0,0
2840.92,183512,180671.08,0,0,0,0,0,1,0
238911.13,1423212.85,1662123.97,3203918.52,2965007.4,0,0,0,0,0
261293.15,16315,0,180347.03,441640.18,0,1,0,0,0
18564.22,45827,27262.78,896649.87,1090574.56,0,1,0,0,0
242718.84,3987160.17,4229879.02,8811063.06,8568344.22,0,0,0,0,0
7081.67,27159.73,20078.05,0,0,0,0,0,1,0
260915.33,319941,59025.67,0,260915.33,0,0,0,0,1
14867.36,0,0,0,0,0,0,0,1,0
647540.88,0,0,1135080.56,1782621.44,0,1,0,0,0
2747.55,93378,90630.45,0,0,0,0,0,1,0
18967.78,8007,0,0,0,0,0,0,1,0
235473.62,0,0,2236211.74,2471685.36,0,1,0,0,0
1226785.12,52170,0,4260133.88,5337145,0,0,0,0,1
14541.8,45103,30561.2,0,0,0,0,0,1,0
326503.41,9944059.11,10270562.52,813324.87,486821.46,0,0,0,0,0
3056.92,0,0,0,0,0,0,0,1,0
42877.01,50311,7433.99,10706673.77,10749550.79,0,1,0,0,0
22497.97,0,0,0,0,0,0,0,1,0
75402.48,0,0,247624.74,442281.12,0,1,0,0,0
232679.07,566,0,915550.96,1148230.03,0,1,0,0,0
1561.22,63655,62093.78,0,0,0,0,0,1,0
218664.89,5249440.56,5468105.45,1654775.02,1436110.13,0,0,0,0,0
